name/season,injury,days
manuel-neuer_23/24,Torn muscle fiber,19
manuel-neuer_23/24,Fitness,7
manuel-neuer_22/23,Lower leg fracture,311
manuel-neuer_22/23,Shoulder joint contusion,24
manuel-neuer_22/23,Corona virus,7
manuel-neuer_21/22,Knee surgery,32
manuel-neuer_21/22,Corona virus,14
manuel-neuer_21/22,Capsular injury,3
manuel-neuer_21/22,Capsular injury,3
daniel-peretz_23/24,Inner ligament injury,58
daniel-peretz_20/21,Corona virus,14
sven-ulreich_23/24,Ill,3
sven-ulreich_23/24,Capsular injury,4
sven-ulreich_23/24,infection,3
sven-ulreich_21/22,Back problems,5
sven-ulreich_21/22,Inner knee ligament tear,41
tom-hulsmann_23/24,Hamstring injury,153
tom-hulsmann_22/23,Shoulder injury,11
tom-hulsmann_22/23,Fitness,9
tom-hulsmann_21/22,Hip injury,106
matthijs-de-ligt_23/24,Inner ligament injury,9
matthijs-de-ligt_23/24,Inner knee ligament tear,42
matthijs-de-ligt_23/24,Knock,22
matthijs-de-ligt_23/24,Calf injury,7
matthijs-de-ligt_22/23,Virus,2
matthijs-de-ligt_22/23,Inner ligament stretch of the knee,10
matthijs-de-ligt_22/23,Adductor pain,3
matthijs-de-ligt_21/22,Adductor pain,7
matthijs-de-ligt_20/21,Groin problems,14
matthijs-de-ligt_20/21,Muscle fatigue,10
matthijs-de-ligt_20/21,Corona virus,18
matthijs-de-ligt_20/21,Shoulder injury,101
matthijs-de-ligt_19/20,Rest,7
matthijs-de-ligt_19/20,Shoulder injury,11
matthijs-de-ligt_19/20,Ankle sprain,7
min-jae-kim_23/24,Ankle problems,4
min-jae-kim_23/24,Hip bruise,2
min-jae-kim_23/24,Knock,4
min-jae-kim_22/23,Calf problems,3
min-jae-kim_21/22,Arch problems,56
min-jae-kim_21/22,muscle stiffness,6
min-jae-kim_21/22,Stomach flu,2
min-jae-kim_20/21,Fitness,1
min-jae-kim_20/21,Foot injury,41
min-jae-kim_20/21,Quarantine,18
dayot-upamecano_23/24,Torn muscle fiber,13
dayot-upamecano_23/24,Hamstring injury,24
dayot-upamecano_23/24,Adductor pain,4
dayot-upamecano_22/23,Torn muscle fiber,11
dayot-upamecano_22/23,Toe injury,4
dayot-upamecano_21/22,Corona virus,7
dayot-upamecano_21/22,Hamstring injury,11
dayot-upamecano_20/21,Muscle injury,13
dayot-upamecano_20/21,Torn muscle fiber,13
dayot-upamecano_19/20,Fitness,19
dayot-upamecano_19/20,Knee injury,25
eric-dier_21/22,Thigh problems,11
eric-dier_21/22,Thigh problems,17
eric-dier_20/21,Muscle strain,12
eric-dier_19/20,Hip problems,13
tarek-buchmann_23/24,Torn muscle bundle,241
tarek-buchmann_23/24,Fitness,28
tarek-buchmann_23/24,Torn muscle bundle,33
tarek-buchmann_22/23,Hamstring injury,116
tarek-buchmann_22/23,Capsular injury,4
tarek-buchmann_22/23,Outer ligament tear,36
alphonso-davies_23/24,Internal ligament strain,21
alphonso-davies_22/23,Torn muscle bundle,49
alphonso-davies_22/23,Torn muscle fiber,11
alphonso-davies_22/23,Head injury,3
alphonso-davies_22/23,muscular problems,4
alphonso-davies_21/22,heart problems,84
alphonso-davies_21/22,Corona virus,10
alphonso-davies_21/22,Thigh problems,7
alphonso-davies_21/22,Knee problems,3
alphonso-davies_21/22,Ankle injury,35
alphonso-davies_20/21,Torn ankle ligaments,46
raphael-guerreiro_23/24,Ankle injury,12
raphael-guerreiro_23/24,Torn muscle fiber,15
raphael-guerreiro_23/24,Torn muscle fiber,33
raphael-guerreiro_23/24,Fitness,24
raphael-guerreiro_23/24,Torn muscle bundle,41
raphael-guerreiro_22/23,muscular problems,10
raphael-guerreiro_22/23,Thigh problems,14
raphael-guerreiro_22/23,Ill,4
raphael-guerreiro_21/22,Rest,4
raphael-guerreiro_21/22,muscular problems,7
raphael-guerreiro_21/22,Corona virus,10
raphael-guerreiro_21/22,muscular problems,7
raphael-guerreiro_21/22,muscular problems,7
raphael-guerreiro_21/22,Torn muscle fiber,32
raphael-guerreiro_21/22,Calf problems,24
joshua-kimmich_23/24,Shoulder injury,13
joshua-kimmich_23/24,Ill,7
joshua-kimmich_23/24,Ill,6
joshua-kimmich_23/24,muscular problems,2
joshua-kimmich_22/23,Corona virus,5
joshua-kimmich_21/22,Fitness,25
joshua-kimmich_21/22,Corona virus,17
joshua-kimmich_21/22,Quarantine,14
joshua-kimmich_20/21,influenza,4
joshua-kimmich_20/21,Meniscus damage,46
noussair-mazraoui_23/24,Torn muscle fiber,28
noussair-mazraoui_23/24,Fitness,10
noussair-mazraoui_23/24,Torn muscle bundle,47
noussair-mazraoui_23/24,Ill,3
noussair-mazraoui_23/24,muscular problems,8
noussair-mazraoui_22/23,inflammation,61
noussair-mazraoui_22/23,Muscle injury,7
noussair-mazraoui_22/23,Hip flexor problems,4
noussair-mazraoui_21/22,minor knock,14
noussair-mazraoui_21/22,minor knock,7
noussair-mazraoui_21/22,Thigh problems,31
noussair-mazraoui_21/22,Ill,4
